shop_id,brand,branch_name,emirate,address,lat,lon,geo_confidence,in_mall,rating,n_reviews,rating_confidence,demand_2km,comp_2km,cannibalisation,worst_overlap_with,worst_overlap_brand,worst_overlap_km,sig_health,sig_demand,sig_pressure,sig_attract,sig_cannib,c_health,c_attract,c_cannib,score,recommendation,stability,robust,duel,reason
tt_yas_mall,Tips & Toes,Yas Mall,Abu Dhabi,"Yas Mall, Lower ground floor, Yas Island",24.48601,54.60767,high,True,4.2,1021,confirmed,335,2,0.2555,bd_west_yas,Bedashing,2.27,53.8,82.7,39.4,100.0,25.6,21.52,35.0,-6.4,50.12,PROTECT,93.3,robust,,"Protect because attractive market (demand p83, pressure p39)."
bd_baniyas,Bedashing,Baniyas,Abu Dhabi,"Villa D, Baniyas East 8, opposite Lulu Hypermarket",24.2973631,54.6332474,verified,False,4.6,694,confirmed,64,1,0.0,,,,69.2,38.5,27.9,55.8,0.0,27.68,19.53,-0.0,47.21,PROTECT,100.0,robust,,"Protect because no dominant signal; nothing stands out either way. Customers mostly talk about services (60), nails (11), technician (11). Operational signals worth a look: front-desk experience, booking or welcome (9 mentions)."
bd_shahama,Bedashing,Shahama,Abu Dhabi,Al Shahama Rd,24.5243742,54.6718965,verified,False,4.6,746,confirmed,73,3,0.0,,,,76.9,44.2,47.1,46.2,0.0,30.76,16.17,-0.0,46.93,PROTECT,100.0,robust,,"Protect because health at percentile 77 (4.6 from 746 reviews). Customers mostly talk about services (50), eyebrows (38), fun (18)."
bd_al_barsha,Bedashing,Al Barsha,Dubai,"Shop 1,2-3 Umm Suqeim St, Al Barsha 2",25.1131451,55.2156092,verified,False,4.6,742,confirmed,650,35,0.5713,tt_al_barsha,Tips & Toes,1.2,75.0,96.2,92.3,88.5,57.1,30.0,30.97,-14.28,46.69,PROTECT,82.2,medium,beats Tips & Toes Al Barsha,"Protect because it shares 57% of its catchment with Tips & Toes Al Barsha 1.2 km away; health at percentile 75 (4.6 from 742 reviews); attractive market (demand p96, pressure p92). Customers mostly talk about services (123), pedicure (41), hammam (22)."
bd_ras_al_khaimah,Bedashing,Ras Al Khaimah,Ras Al Khaimah,"Villa 3, Sheikh Rashid Bin Saeed Al Maktoum Rd, Al Dhaith",25.751541,55.9198717,verified,False,4.6,769,confirmed,32,0,0.0,,,,80.8,28.8,10.6,40.4,0.0,32.32,14.14,-0.0,46.46,PROTECT,97.7,robust,,"Protect because health at percentile 81 (4.6 from 769 reviews). Customers mostly talk about services (38), hair colour (27), pedicure (22)."
tt_khalifa_city,Tips & Toes,Khalifa City,Abu Dhabi,"Street 12, Southwest 11, Khalifa City A",24.42013,54.57495,medium,False,4.3,1203,confirmed,55,2,0.0,,,,78.8,34.6,39.4,36.5,0.0,31.52,12.77,-0.0,44.29,PROTECT,81.1,medium,,Protect because health at percentile 79 (4.3 from 1203 reviews).
tt_the_greens_souk,Tips & Toes,The Greens Souk,Dubai,"Community Centre Shop 8, Street 7, The Greens",25.09286,55.17062,medium,True,4.4,601,confirmed,260,17,0.0223,tt_the_springs_souk,Tips & Toes,3.68,46.2,76.9,76.9,71.2,2.2,18.48,24.92,-0.55,42.85,PROTECT,67.9,medium,,"Protect because attractive market (demand p77, pressure p77)."
tt_business_bay,Tips & Toes,Business Bay,Dubai,"Garden Side Bay Avenue, Business Bay",25.19008,55.26719,high,False,4.5,456,confirmed,452,13,0.2859,tt_the_dubai_mall,Tips & Toes,1.41,38.5,88.5,73.1,96.2,28.6,15.4,33.67,-7.15,41.92,PROTECT,57.7,FRAGILE,,"Protect because health at network percentile 38 (4.5 from 456 reviews); attractive market (demand p88, pressure p73)."
tt_arabian_ranches,Tips & Toes,Arabian Ranches,Dubai,"E311, Arabian Ranches",25.05357,55.27548,medium,False,4.6,885,confirmed,20,1,0.0,,,,86.5,17.3,27.9,17.3,0.0,34.6,6.05,-0.0,40.65,HOLD,60.5,medium,,"Hold: health at percentile 86 (4.6 from 885 reviews); weak market (demand p17, competitive pressure p28)."
bd_mirdif_35,Bedashing,Mirdif 35,Dubai,"Khansaheb Mirdif 35, Level 2, Unit L2-10",25.2322986,55.4329599,verified,False,4.5,817,confirmed,102,6,0.1921,tt_city_centre_mirdif,Tips & Toes,3.09,71.2,51.0,60.6,48.1,19.2,28.48,16.84,-4.8,40.52,HOLD,95.5,robust,,"Hold: no dominant signal; nothing stands out either way. Customers mostly talk about services (121), pedicure (59), technician (35). Operational signals worth a look: in-store hygiene (21 mentions)."
bd_shakhbout_city,Bedashing,Shakhbout City,Abu Dhabi,Shakhbout City 3,24.3481854,54.6238561,verified,False,4.5,1268,confirmed,21,2,0.0,,,,90.4,19.2,39.4,11.5,0.0,36.16,4.02,-0.0,40.18,HOLD,67.6,medium,,"Hold: health at percentile 90 (4.5 from 1268 reviews); weak market (demand p19, competitive pressure p39). Customers mostly talk about services (97), technician (58), cleanliness (25). Operational signals worth a look: in-store hygiene (25 mentions)."
tt_dubai_marina_mall,Tips & Toes,Dubai Marina Mall,Dubai,Dubai Marina Mall Galleria,25.07664,55.14022,high,True,4.4,457,confirmed,654,62,0.1461,tt_marina_vista,Tips & Toes,2.24,34.6,98.1,96.2,84.6,14.6,13.84,29.61,-3.65,39.8,HOLD,78.2,medium,,"Hold: health at network percentile 35 (4.4 from 457 reviews); attractive market (demand p98, pressure p96)."
bd_al_falah,Bedashing,Al Falah,Abu Dhabi,"Al Falah Village 4, 1D Branch",24.4428939,54.7396974,verified,False,4.6,948,confirmed,18,0,0.1219,tt_al_falah_1,Tips & Toes,2.89,88.5,15.4,10.6,21.2,12.2,35.4,7.42,-3.05,39.77,HOLD,88.8,robust,,"Hold: health at percentile 88 (4.6 from 948 reviews); weak market (demand p15, competitive pressure p11). Customers mostly talk about cherry (25), poetry (18), artists (18)."
bd_jumeirah_park,Bedashing,Jumeirah Park,Dubai,"Shop 17 & 18, Jumeirah Park Club House",25.039154,55.1659736,verified,False,4.8,440,confirmed,105,8,0.0,,,,57.7,53.8,68.3,44.2,0.0,23.08,15.47,-0.0,38.55,HOLD,99.6,robust,,"Hold: no dominant signal; nothing stands out either way. Customers mostly talk about pedicure (62), services (45), technician (21)."
bd_al_ain,Bedashing,Al Ain,Abu Dhabi,"Villa 14, Hamdan Bin Mohammad St., Al Markaniyah, Al Ain",24.2266835,55.6599794,verified,False,4.7,1325,confirmed,1,0,0.0,,,,94.2,0.0,10.6,0.0,0.0,37.68,0.0,-0.0,37.68,HOLD,89.3,robust,,"Hold: health at percentile 94 (4.7 from 1325 reviews); weak market (demand p0, competitive pressure p11). Customers mostly talk about services (166), pedicure (50), treatment (22)."
bd_mohammed_bin_zayed_city,Bedashing,Mohammed Bin Zayed City,Abu Dhabi,"Villa 5, 69 Al Raqi St",24.3667831,54.5403404,verified,False,4.4,830,confirmed,57,4,0.0,,,,59.6,36.5,51.0,34.6,0.0,23.84,12.11,-0.0,35.95,HOLD,100.0,robust,,"Hold: no dominant signal; nothing stands out either way. Customers mostly talk about services (52), technician (35), eyebrows (31)."
bd_west_yas,Bedashing,West Yas,Abu Dhabi,"Westyas Plaza, Yas Island",24.4934924,54.5868369,verified,True,4.6,727,confirmed,22,0,0.1077,tt_yas_mall,Tips & Toes,2.27,73.1,21.2,10.6,25.0,10.8,29.24,8.75,-2.7,35.29,HOLD,99.8,robust,,"Hold: no dominant signal; nothing stands out either way. Customers mostly talk about services (53), technician (52), nails (19)."
tt_dubai_silicon_central,Tips & Toes,Dubai Silicon Central,Dubai,Dubai Silicon Central,25.11122,55.37478,high,False,4.5,479,confirmed,193,17,0.0,,,,40.4,69.2,76.9,53.8,0.0,16.16,18.83,-0.0,34.99,HOLD,100.0,robust,,Hold: no dominant signal; nothing stands out either way.
bd_zayed_international_airport,Bedashing,Zayed International Airport,Abu Dhabi,Midfield Terminal,24.4527718,54.6411421,verified,False,4.9,535,confirmed,9,1,0.0517,bd_khalifa_city_a,Bedashing,4.51,82.7,7.7,27.9,5.8,5.2,33.08,2.03,-1.3,33.81,HOLD,99.2,robust,,"Hold: health at percentile 83 (4.9 from 535 reviews); weak market (demand p8, competitive pressure p28). Customers mostly talk about manicure (73), flight (58), layover (26)."
tt_the_dubai_mall,Tips & Toes,The Dubai Mall,Dubai,"The Dubai Mall Level 1, Fashion Avenue",25.19704,55.27895,high,True,4.1,474,confirmed,499,20,0.2374,bd_city_walk,Bedashing,1.62,19.2,90.4,84.6,90.4,23.7,7.68,31.64,-5.92,33.4,HOLD,94.1,robust,,"Hold: health at network percentile 19 (4.1 from 474 reviews); attractive market (demand p90, pressure p85)."
bd_nad_al_sheba,Bedashing,Nad Al Sheba,Dubai,"Nad Al Sheba Mall, Shop L2-048",25.1595625,55.3696875,verified,True,4.6,626,confirmed,28,1,0.0,,,,61.5,26.9,27.9,23.1,0.0,24.6,8.09,-0.0,32.69,HOLD,100.0,robust,,"Hold: weak market (demand p27, competitive pressure p28). Customers mostly talk about services (68), pedicure (41), blow dry (30). Operational signals worth a look: front-desk experience, booking or welcome (12 mentions)."
tt_creek_beach,Tips & Toes,Creek Beach,Dubai,"Retail 10, Summer at Creek Beach Building 1",25.19798,55.36038,medium,False,4.5,198,confirmed,113,1,0.0,,,,9.6,55.8,27.9,80.8,0.0,3.84,28.28,-0.0,32.12,HOLD,92.4,robust,,"Hold: health at network percentile 10 (4.5 from 198 reviews); attractive market (demand p56, pressure p28)."
bd_al_jada,Bedashing,Al Jada,Sharjah,"Shop M-18, Misk 2, Muwaileh Trading",25.3192096,55.4799114,verified,False,4.5,613,confirmed,23,0,0.0,,,,51.9,24.0,10.6,29.8,0.0,20.76,10.43,-0.0,31.19,HOLD,100.0,robust,,"Hold: no dominant signal; nothing stands out either way. Customers mostly talk about services (40), pedicure (34), eyebrows (24). Operational signals worth a look: in-store hygiene (19 mentions)."
tt_meadows_mall,Tips & Toes,Meadows Mall,Dubai,"Meadows 4, Emirates Hills",25.06714,55.15679,medium,False,4.7,402,confirmed,262,26,0.4274,tt_dubai_marina_mall,Tips & Toes,1.98,50.0,78.8,86.5,59.6,42.7,20.0,20.86,-10.68,30.18,HOLD,84.5,medium,beats Tips & Toes Dubai Marina Mall,Hold: it shares 43% of its catchment with Tips & Toes Dubai Marina Mall 1.98 km away.
tt_al_barsha,Tips & Toes,Al Barsha,Dubai,"Umm Suqeim Rd, Al Barsha",25.10238,55.21607,medium,False,4.2,825,confirmed,389,33,0.661,bd_al_barsha,Bedashing,1.2,48.1,86.5,90.4,73.1,66.1,19.24,25.58,-16.52,28.3,HOLD,55.6,FRAGILE,loses to Bedashing Al Barsha,"Hold: it shares 66% of its catchment with Bedashing Al Barsha 1.2 km away; attractive market (demand p86, pressure p90)."
tt_marina_mall_auh,Tips & Toes,Marina Mall AUH,Abu Dhabi,"W Corniche Rd, Al Kasir, Al Marina",24.47604,54.32143,high,False,4.4,416,inferred,139,6,0.2366,tt_nation_towers,Tips & Toes,1.41,28.8,59.6,60.6,61.5,23.7,11.52,21.52,-5.92,27.12,SHRINK,82.2,medium,,Shrink or do not renew because health at network percentile 29 (4.4 from 416 reviews).
tt_port_de_la_mer,Tips & Toes,Port De La Mer,Dubai,"La Cote B2, Port De La Mer, Jumeirah 1",25.23833,55.25279,high,False,4.6,108,confirmed,167,5,0.0,,,,1.9,63.5,54.8,75.0,0.0,0.76,26.25,-0.0,27.01,SHRINK,61.2,medium,,"Shrink or do not renew because health at network percentile 2 (4.6 from 108 reviews); attractive market (demand p64, pressure p55)."
tt_arjan,Tips & Toes,Arjan,Dubai,"Al Faris Building, Arjan, Al Barsha South",25.06033,55.23549,medium,False,4.5,388,confirmed,144,19,0.0,,,,32.7,61.5,81.7,38.5,0.0,13.08,13.47,-0.0,26.55,SHRINK,71.0,medium,,Shrink or do not renew because health at network percentile 33 (4.5 from 388 reviews).
bd_noya_plaza,Bedashing,Noya Plaza,Abu Dhabi,"Noya Plaza, East Yas, G22, Yas Island",24.4995625,54.6254375,verified,True,4.7,209,confirmed,71,2,0.0295,tt_yas_mall,Tips & Toes,2.35,17.3,42.3,39.4,51.9,2.9,6.92,18.16,-0.72,24.36,SHRINK,96.0,robust,,"Shrink or do not renew because health at network percentile 17 (4.7 from 209 reviews). Customers mostly talk about pedicure (22), technician (9), blow dry (8)."
tt_the_springs_souk,Tips & Toes,The Springs Souk,Dubai,Springs Souq,25.06614,55.19213,high,False,4.5,516,confirmed,40,5,0.0218,tt_the_greens_souk,Tips & Toes,3.68,44.2,32.7,54.8,19.2,2.2,17.68,6.72,-0.55,23.85,HOLD,100.0,robust,,"Hold: weak market (demand p33, competitive pressure p55)."
tt_reem_mall,Tips & Toes,Reem Mall,Abu Dhabi,"Spinneys entrance, Basement level 1, Reem Mall",24.48842,54.40058,high,True,4.3,327,confirmed,383,39,0.337,bd_delma,Bedashing,2.78,13.5,84.6,94.2,69.2,33.7,5.4,24.22,-8.43,21.19,SHRINK,97.8,robust,loses to Bedashing Delma,Shrink or do not renew because it shares 34% of its catchment with Bedashing Delma 2.78 km away; health at network percentile 14 (4.3 from 327 reviews).
tt_nation_towers,Tips & Toes,Nation Towers,Abu Dhabi,"Nation Towers, 1st Street Al Bateen",24.46446,54.327,high,False,4.5,384,confirmed,267,19,0.6297,bd_khaleej_al_arabi,Bedashing,2.78,30.8,80.8,81.7,67.3,63.0,12.32,23.55,-15.75,20.12,SHRINK,96.9,robust,loses to Bedashing Khaleej Al Arabi,Shrink or do not renew because it shares 63% of its catchment with Bedashing Khaleej Al Arabi 2.78 km away; health at network percentile 31 (4.5 from 384 reviews).
tt_city_centre_mirdif,Tips & Toes,City Centre Mirdif,Dubai,City Centre Mirdif,25.21602,55.40807,high,True,4.0,301,confirmed,94,3,0.103,bd_mirdif_35,Bedashing,3.09,3.8,48.1,47.1,57.7,10.3,1.52,20.2,-2.58,19.14,SHRINK,99.7,robust,,Shrink or do not renew because health at network percentile 4 (4.0 from 301 reviews).
tt_park_point,Tips & Toes,Park Point,Dubai,"Dubai Hills Estate, Park Point",25.1214,55.26434,medium,False,4.4,221,confirmed,34,0,0.0,,,,7.7,30.8,10.6,42.3,0.0,3.08,14.8,-0.0,17.88,SHRINK,100.0,robust,,Shrink or do not renew because health at network percentile 8 (4.4 from 221 reviews).
tt_me_aisem_city_centre,Tips & Toes,Me'aisem City Centre,Dubai,"City Centre Meaisem, Dubai Production City",25.04034,55.19694,high,True,4.2,386,confirmed,65,7,0.0,,,,15.4,40.4,65.4,26.9,0.0,6.16,9.41,-0.0,15.57,SHRINK,100.0,robust,,Shrink or do not renew because health at network percentile 15 (4.2 from 386 reviews).
bd_al_dhafra,Bedashing,Al Dhafra,Abu Dhabi,"Al Dhafra Walk, Liwa-Tarif Rd, Zayed City",23.6280524,53.7141144,verified,True,4.5,358,confirmed,7,0,0.0,,,,26.9,5.8,10.6,9.6,0.0,10.76,3.36,-0.0,14.12,SHRINK,100.0,robust,,"Shrink or do not renew because health at network percentile 27 (4.5 from 358 reviews); weak market (demand p6, competitive pressure p11)."
tt_shamkha_mall,Tips & Toes,Shamkha Mall,Abu Dhabi,"Makani Mall, Al Shamkhah",24.38691,54.7226,high,True,4.2,488,confirmed,23,0,0.2443,tt_al_shamkhah_villa,Tips & Toes,2.08,23.1,24.0,10.6,29.8,24.4,9.24,10.43,-6.1,13.57,SHRINK,100.0,robust,,Shrink or do not renew because health at network percentile 23 (4.2 from 488 reviews).
tt_saadiyat_island,Tips & Toes,Saadiyat Island,Abu Dhabi,Saadiyat Island,24.54597,54.44369,low,False,4.5,354,confirmed,12,2,0.0,,,,25.0,11.5,39.4,7.7,0.0,10.0,2.69,-0.0,12.69,SHRINK,100.0,robust,,"Shrink or do not renew because health at network percentile 25 (4.5 from 354 reviews); weak market (demand p12, competitive pressure p39)."
tt_khaleej_al_arabi,Tips & Toes,Khaleej Al Arabi,Abu Dhabi,"Villa 816, Al Khaleej Al Arabi St, Al Bateen",24.45138,54.33797,medium,False,4.2,681,confirmed,169,17,0.8105,bd_khaleej_al_arabi,Bedashing,1.8,36.5,65.4,76.9,50.0,81.0,14.6,17.5,-20.25,11.85,SHRINK,100.0,robust,loses to Bedashing Khaleej Al Arabi,Shrink or do not renew because it shares 81% of its catchment with Bedashing Khaleej Al Arabi 1.8 km away; health at network percentile 36 (4.2 from 681 reviews).
tt_al_falah_1,Tips & Toes,Al Falah 1,Abu Dhabi,"Block A Al Manarah St, Al Falah",24.43711,54.71182,medium,False,4.4,364,confirmed,12,0,0.1637,bd_al_falah,Bedashing,2.89,21.2,11.5,10.6,14.4,16.4,8.48,5.04,-4.1,9.42,SHRINK,100.0,robust,,"Shrink or do not renew because health at network percentile 21 (4.4 from 364 reviews); weak market (demand p12, competitive pressure p11)."
tt_al_falah_5,Tips & Toes,Al Falah 5,Abu Dhabi,"Al Falah Drive St, Village Center 5",24.43711,54.71182,low,True,4.3,277,confirmed,12,0,0.1637,bd_al_falah,Bedashing,2.89,11.5,11.5,10.6,14.4,16.4,4.6,5.04,-4.1,5.54,SHRINK,100.0,robust,,"Shrink or do not renew because health at network percentile 12 (4.3 from 277 reviews); weak market (demand p12, competitive pressure p11)."
tt_mira_town_centre,Tips & Toes,Mira Town Centre,Dubai,Mira Town Centre,25.00949,55.30579,medium,True,4.0,340,confirmed,5,0,0.0,,,,5.8,2.9,10.6,2.9,0.0,2.32,1.01,-0.0,3.33,SHRINK,100.0,robust,,"Shrink or do not renew because health at network percentile 6 (4.0 from 340 reviews); weak market (demand p3, competitive pressure p11)."
tt_the_villa,Tips & Toes,The Villa,Dubai,"Next to Spinneys, The Villa",25.00949,55.30579,low,False,4.3,137,confirmed,5,0,0.0,,,,0.0,2.9,10.6,2.9,0.0,0.0,1.01,-0.0,1.01,SHRINK,100.0,robust,,"Shrink or do not renew because health at network percentile 0 (4.3 from 137 reviews); weak market (demand p3, competitive pressure p11)."
